New Name	Number of larvae	Order	Family
77	2	Scorpaeniformes	Scorpaenidae
77	1	Anguilliformes	Muraenidae
77	2	Perciformes	Gobiidae
77	1	Perciformes	Acropomatidae
77	1	Lophiiformes	Tetraodontidae
77	1	Perciformes	Symphysanodontidae
77	1	Perciformes	Labridae
78	1	Stomiiformes	UND
78	2	Pleuronectiformes	Bothidae
78	1	Perciformes 	Pomacanthidae
78	1	Tetraodontiformes	Monacanthidae
78	2	Perciformes	Lethrinidae
78	3	Perciformes	Labridae
78	5	Perciformes	Apogonidae
78	1	UND	UND
79	1	Pleuronectiformes	Bothidae
79	1	UND	UND
80	1	UND	UND
81	2	UND	UND
82	1	Tetraodontiformes	Tetraodontidae
82	1	UND	UND
83	1	Anguilliformes	Muraenidae
83	3	Scorpaeniformes	Scorpaenidae
83	1	Perciformes	Acanthuridae
83	3	Perciformes	Symphysanodontidae
83	1	Perciformes	Pomacentridae
83	1	Tetraodontiformes	Tetraodontidae
84	1	Tetraodontiformes	Monacanthidae
84	2	Perciformes	Apogonidae
84	1	Perciformes	Apogonidae
84	1	UND	UND
84	1	UND	UND
85	1	Perciformes	Gobiidae
85	1	Scorpaeniformes	UND
85	1	Lophiiformes	Antennariidae
85	1	Perciformes	Scaridae
85	1	Perciformes	Pomacentridae
85	1	Perciformes  	Serranidae 
85	2	Perciformes	Apogonidae
85	1	UND	UND
85	1	UND	UND
86	2	Perciformes	Gobiidae
86	1	UND	UND
87	4	Perciformes	Pomacentridae
87	1	Anguilliformes	Muraenidae
87	1	Perciformes	Lethrinidae
87	1	UND	UND
87	1	Perciformes	Apogonidae
87	2	Scorpaeniformes	Aploactinidae
88	3	UND	UND
88	8	Perciformes	Gobiidae
88	1	Pleuronectiformes	Bothidae
88	3	Perciformes	Carangidae
88	1	Tetraodontiformes	Monacanthidae
88	4	Perciformes	Pomacentridae
88	1	Perciformes  	Serranidae 
88	2	Perciformes	Lethrinidae
88	3	Perciformes 	Scombridae
88	2	Perciformes	Labridae
88	1	UND	UND
88	1	UND	UND
88	1	UND	UND
88	1	UND	UND
88	1	UND	UND
88	1	Perciformes	Priacanthidae
88	1	Perciformes	Priacanthidae
88	1	Perciformes  	Serranidae 
88	1	Anguilliformes	Muraenidae
89	5	Perciformes	Gobiidae
89	1	Anguilliformes	Muraenidae
89	3	Perciformes 	Scombridae
89	1	Perciformes  	Pomacanthidae
89	2	Perciformes	Lethrinidae
89	3	UND	UND
89	2	UND	UND
89	1	Perciformes  	Serranidae 
89	1	Perciformes	Creediidae 
89	1	Perciformes	Priacanthidae
89	2	Tetraodontiformes	Monacanthidae
89	1	Perciformes	Labridae
89	1	Perciformes	Labridae
89	2	Perciformes	Apogonidae
89	6	UND	UND
90	1	Perciformes	Lethrinidae
90	1	Syngnathiformes	Syngnathidae 
90	1	Anguilliformes	Muraenidae
90	6	Perciformes	Apogonidae
90	2	Perciformes	Creediidae 
90	2	UND	UND
90	1	UND	UND
90	2	Perciformes  	Pomacanthidae
90	3	UND	UND
90	5	UND	UND
90	1	Perciformes	Gobiidae
90	1	Perciformes  	Serranidae 
90	1	Perciformes	Lethrinidae
90	2	UND	UND
90	1	UND	UND
90	1	UND	UND
90	1	UND	UND
90	1	UND	UND
91	1	UND	UND
91	2	Perciformes	Gobiidae
91	1	Perciformes	Carangidae
91	1	Perciformes	Acropomatidae
92	1	Perciformes	Gobiidae
92	2	UND	UND
92	1	Perciformes	Gobiidae
93	1	Perciformes  	Serranidae 
93	2	Perciformes  	Serranidae 
93	2	Anguilliformes	Muraenidae
93	1	Perciformes 	Scombridae
93	1	Tetraodontiformes	Monacanthidae
93	5	Perciformes	Apogonidae
93	1	Perciformes 	Scombridae
93	3	UND	UND
93	1	Perciformes	Labridae
93	4	Perciformes	Gobiidae
94	2	Perciformes  	Serranidae 
94	2	Perciformes  	Pomacanthidae
94	11	Perciformes	Gobiidae
94	5	Perciformes	Lethrinidae
94	2	Perciformes	Lethrinidae
94	4	Perciformes 	Scombridae
94	2	Perciformes	Callionymidae 
94	8	Perciformes	Creediidae 
94	2	Perciformes	Pomacentridae
94	2	Perciformes  	Serranidae 
94	1	Perciformes  	Pomacanthidae
94	2	Tetraodontiformes	Tetraodontidae
94	7	UND	UND
94	1	Perciformes	Apogonidae
94	7	Perciformes	Apogonidae
94	1	UND	UND
94	1	Perciformes	Lethrinidae
94	1	Perciformes	Callionymidae 
94	1	UND	UND
94	1	Perciformes	Creediidae 
94	1	UND	UND
94	7	UND	UND
94	1	Perciformes	Gobiidae
94	2	Perciformes	Apogonidae
94	2	Perciformes	Pomacentridae
94	1	UND	UND
94	1	UND	UND
94	22	UND	UND
95	1	Scorpaeniformes	Scorpaenidae
95	2	Perciformes	Apogonidae
95	1	Myctophiformes	Myctophidae
96	1	UND	UND
96	1	Perciformes	Labridae
96	1	Aulopiformes	Synodontidae
96	1	UND	UND
96	1	Perciformes  	Pomacanthidae
96	1	Tetraodontiformes	Monacanthidae
96	2	Perciformes 	Scombridae
96	1	Perciformes	Gobiidae
97	4	Perciformes 	Scombridae
97	1	Perciformes	Gobiidae
97	1	Perciformes	Pomacentridae
97	1	Perciformes  	Serranidae 
97	1	Perciformes	Apogonidae
97	1	Perciformes	Lethrinidae
97	2	UND	UND
98	6	Perciformes	Lethrinidae
98	1	Perciformes 	Scombridae
98	3	Perciformes	Gobiidae
98	1	Perciformes	Gobiidae
98	1	Perciformes	Labridae
98	15	UND	UND
98	7	UND	UND
98	3	UND	UND
98	1	Perciformes	Apogonidae
98	5	UND	UND
98	1	UND	UND
99	3	Perciformes	Gobiidae
100	1	Perciformes	Apogonidae
100	1	Perciformes	Gobiidae
100	1	Perciformes	Pomacentridae
100	1	UND	UND
100	4	UND	UND
100	2	Perciformes 	Scombridae
100	1	Perciformes  	Caproidae
100	1	UND	UND
101	1	Perciformes	Pomacentridae
101	1	Perciformes	Apogonidae
101	1	Perciformes	Labridae
101	2	UND	UND
101	2	UND	UND
101	1	UND	UND
101	1	UND	UND
102	3	Perciformes	Gobiidae
102	1	UND	UND
102	1	Perciformes 	Scombridae
102	2	Perciformes	Pomacentridae
102	1	Perciformes  	Serranidae 
103	1	Perciformes	Labridae
103	1	Perciformes	Gobiidae
103	1	Aulopiformes	Paralepididae
103	1	Perciformes	Carangidae
104	2	Syngnathiformes	Syngnathidae 
104	2	Perciformes	Gobiidae
104	1	Aulopiformes	Synodontidae
104	1	Perciformes	Apogonidae
104	1	Perciformes	Acropomatidae
105	1	Perciformes	Scaridae
105	1	Perciformes	Apogonidae
105	1	Perciformes	Gobiidae
105	1	UND	UND
105	3	UND	UND
105	1	UND	UND
105	1	UND	UND
105	1	UND	UND
106	2	Perciformes	Creediidae 
106	2	Perciformes	Scaridae
106	4	Perciformes	Apogonidae
106	3	Perciformes	Gobiidae
106	8	UND	UND
106	1	Atheriniformes	Atherinidae
106	1	Perciformes	Pomacentridae
106	1	Syngnathiformes	Syngnathidae 
106	1	Perciformes	Carangidae
106	7	UND	UND
107	13	Perciformes	Gobiidae
107	9	Atheriniformes	Atherinidae
107	3	UND	UND
107	2	Perciformes	Scaridae
107	1	Perciformes	Scaridae
107	8	Perciformes	Apogonidae
107	8	Perciformes	Creediidae 
107	7	Perciformes	UND
107	5	Perciformes	UND
107	2	UND	UND
107	1	UND	UND
107	2	UND	UND
107	1	Stomiiformes	Phosichthyidae
107	7	UND	UND
107	3	UND	UND
107	5	Perciformes 	Scombridae
107	1	UND	UND
107	1	UND	UND
107	1	UND	UND
107	1	UND	UND
107	3	UND	UND
107	7	UND	UND
108	4	UND	UND
108	1	Stomiiformes	Sternoptychidae
108	1	UND	UND
108	1	UND	UND
109	17	Stomiiformes	Sternoptychidae
